회차,일자,번호1,번호2,번호3,번호4,번호5,번호6,보너스,1등 당첨자수,1등 당첨금액,총 판매금액
959회,2021년04월17일,1,14,15,24,40,41,35,8,"3,015,312,891원","97,435,835,000원"
960회,2021년04월24일,2,18,24,30,32,45,14,10,"2,401,133,213원","98,784,879,000원"
961회,2021년05월01일,11,20,29,31,33,42,43,9,"2,575,231,209원","97,153,309,000원"
962회,2021년05월08일,1,18,28,31,34,43,40,12,"1,940,906,094원","95,956,365,000원"
963회,2021년05월15일,6,12,19,23,34,42,35,15,"1,476,478,125원","95,452,215,000원"
964회,2021년05월22일,6,21,36,38,39,43,30,10,"2,345,861,063원","95,549,895,000원"
965회,2021년05월29일,2,13,25,28,29,36,34,7,"3,403,348,929원","96,174,650,000원"
966회,2021년06월05일,1,21,25,29,34,37,36,10,"2,411,303,513원","95,640,447,000원"
967회,2021년06월12일,1,6,13,37,38,40,9,4,"5,809,776,094원","94,515,565,000원"
968회,2021년06월19일,2,5,12,14,24,39,33,13,"1,667,729,683원","95,924,229,000원"
969회,2021년06월26일,3,9,10,29,40,45,7,20,"1,149,427,894원","96,728,751,000원"
970회,2021년07월03일,9,11,16,21,28,36,5,14,"1,611,544,045원","93,268,371,000원"
971회,2021년07월10일,2,6,17,18,21,26,7,6,"3,725,880,250원","94,471,924,000원"
972회,2021년07월17일,3,6,17,23,37,39,26,20,"1,124,886,244원","93,916,813,000원"
973회,2021년07월24일,22,26,31,37,41,42,24,8,"2,912,742,750원","93,953,872,000원"
974회,2021년07월31일,1,2,11,16,39,44,32,17,"1,317,034,523원","94,146,055,000원"
975회,2021년08월07일,7,8,9,17,22,24,5,9,"2,440,410,375원","94,253,719,000원"
976회,2021년08월14일,4,12,14,25,35,37,2,7,"3,243,867,215원","97,492,178,000원"
977회,2021년08월21일,2,9,10,14,22,44,16,14,"1,669,905,911원","95,895,844,000원"
978회,2021년08월28일,1,7,15,32,34,42,8,10,"2,373,391,388원","98,855,197,000원"
979회,2021년09월04일,7,11,16,21,27,33,24,14,"1,606,400,518원","99,507,886,000원"
980회,2021년09월11일,3,13,16,23,24,35,14,7,"3,409,443,215원","99,593,380,000원"
981회,2021년09월18일,27,36,37,41,43,45,32,13,"1,992,863,193원","105,645,424,000원"
982회,2021년09월25일,5,7,13,20,21,44,33,8,"3,023,630,672원","101,344,251,000원"
983회,2021년10월02일,13,23,26,31,35,43,15,10,"2,503,422,225원","101,899,006,000원"
984회,2021년10월09일,3,10,23,35,36,37,18,7,"3,453,006,268원","98,762,367,000원"
985회,2021년10월16일,17,21,23,30,34,44,19,10,"2,434,752,975원","98,811,446,000원"
986회,2021년10월23일,7,10,16,28,41,42,40,10,"2,375,275,125원","99,041,240,000원"
987회,2021년10월30일,2,4,15,23,29,38,7,10,"2,378,711,625원","100,269,530,000원"
988회,2021년11월06일,2,13,20,30,31,41,27,9,"2,678,489,375원","98,606,195,000원"
989회,2021년11월13일,17,18,21,27,29,33,26,4,"5,826,768,563원","96,525,658,000원"
990회,2021년11월20일,2,4,25,26,36,37,28,14,"1,740,095,277원","99,567,047,000원"
991회,2021년11월27일,13,18,25,31,33,44,38,8,"2,904,166,032원","98,026,282,000원"
992회,2021년12월04일,12,20,26,33,44,45,24,12,"1,986,955,563원","97,066,498,000원"
993회,2021년12월11일,6,14,16,18,24,42,44,6,"3,991,197,063원","99,323,653,000원"
994회,2021년12월18일,1,3,8,24,27,35,28,12,"1,861,582,063원","95,530,936,000원"
995회,2021년12월25일,1,4,13,29,38,39,7,7,"3,447,271,875원","100,878,455,000원"
996회,2022년01월01일,6,11,15,24,32,39,28,18,"1,491,185,771원","112,624,327,000원"
997회,2022년01월08일,4,7,14,16,24,44,20,19,"1,253,749,560원","102,431,961,000원"
998회,2022년01월15일,13,17,18,20,42,45,41,12,"2,076,499,657원","101,681,869,000원"
999회,2022년01월22일,1,3,9,14,18,28,34,16,"1,513,274,790원","102,581,351,000원"
1000회,2022년01월29일,2,8,19,22,32,42,39,22,"1,246,819,620원","118,628,811,000원"
1001회,2022년02월05일,6,10,12,14,20,42,15,12,"2,077,279,594원","103,967,487,000원"
1002회,2022년02월12일,17,25,33,35,38,45,15,8,"3,088,449,563원","105,795,484,000원"
1003회,2022년02월19일,1,4,29,39,43,45,31,14,"1,811,116,822원","103,479,378,000원"
1004회,2022년02월26일,7,15,30,37,39,44,18,10,"2,576,251,913원","106,112,471,000원"
1005회,2022년03월05일,8,13,18,24,27,29,17,12,"2,061,199,344원","103,755,249,000원"
1006회,2022년03월12일,8,11,15,16,17,37,36,9,"2,855,602,125원","104,542,431,000원"
1007회,2022년03월19일,8,11,16,19,21,25,40,9,"2,718,786,375원","101,530,003,000원"
1008회,2022년03월26일,9,11,30,31,41,44,33,11,"2,267,377,910원","103,727,042,000원"
1009회,2022년04월02일,15,23,29,34,40,44,20,15,"1,702,462,825원","103,771,363,000원"
1010회,2022년04월09일,9,12,15,25,34,36,3,8,"3,119,380,079원","103,011,505,000원"
1011회,2022년04월16일,1,9,12,26,35,38,42,11,"2,220,348,512원","101,799,373,000원"
1012회,2022년04월23일,5,11,18,20,35,45,3,13,"1,861,944,318원","101,948,323,000원"
1013회,2022년04월30일,21,22,26,34,36,41,32,5,"5,047,570,725원","101,747,653,000원"
1014회,2022년05월07일,3,11,14,18,26,27,21,10,"2,410,449,338원","102,396,369,000원"
1015회,2022년05월14일,14,23,31,33,37,40,44,8,"3,051,105,610원","102,562,683,000원"
