회차,일자,번호1,번호2,번호3,번호4,번호5,번호6,보너스,1등 당첨자수,1등 당첨금액,총 판매금액
663회,2015년08월15일,3,5,8,19,38,42,20,7,"2,080,244,143원","61,100,704,000원"
664회,2015년08월22일,10,20,33,36,41,44,5,10,"1,536,801,338원","61,921,689,000원"
665회,2015년08월29일,5,6,11,17,38,44,13,4,"3,643,230,375원","61,885,874,000원"
666회,2015년09월05일,2,4,6,11,17,28,16,6,"2,396,901,063원","62,652,917,000원"
667회,2015년09월12일,15,17,25,37,42,43,13,7,"2,228,764,393원","63,421,632,000원"
668회,2015년09월19일,12,14,15,24,27,32,3,5,"2,991,158,625원","63,346,405,000원"
669회,2015년09월26일,7,8,20,29,33,38,9,6,"2,708,173,188원","67,952,211,000원"
670회,2015년10월03일,11,18,26,27,40,41,25,12,"1,191,725,219원","62,242,687,000원"
671회,2015년10월10일,7,9,10,13,31,35,24,4,"3,722,322,844원","63,940,807,000원"
672회,2015년10월17일,8,21,28,31,36,45,43,9,"1,754,745,000원","63,542,330,000원"
673회,2015년10월24일,7,10,17,29,33,44,5,10,"1,491,453,300원","63,163,578,000원"
674회,2015년10월31일,9,10,14,25,27,31,11,8,"1,770,565,500원","61,386,974,000원"
675회,2015년11월07일,1,8,11,15,18,45,7,4,"3,514,549,032원","60,458,623,000원"
676회,2015년11월14일,1,8,17,34,39,45,27,8,"1,879,726,500원","62,147,642,000원"
677회,2015년11월21일,12,15,24,36,41,44,42,8,"1,921,114,407원","62,267,624,000원"
678회,2015년11월28일,4,5,6,12,25,37,45,6,"2,288,490,188원","60,887,293,000원"
679회,2015년12월05일,3,5,7,14,26,34,35,5,"2,863,005,600원","62,220,918,000원"
680회,2015년12월12일,4,10,19,29,32,42,30,14,"1,110,570,563원","64,245,201,000원"
681회,2015년12월19일,21,24,27,29,43,44,7,6,"2,696,328,938원","63,268,253,000원"
682회,2015년12월26일,17,23,27,35,38,43,2,4,"4,063,713,563원","66,757,858,000원"
683회,2016년01월02일,6,13,20,27,28,40,15,16,"1,010,930,883원","71,940,091,000원"
684회,2016년01월09일,1,11,15,17,25,39,40,9,"1,688,815,709원","66,623,887,000원"
685회,2016년01월16일,6,7,12,28,38,40,18,11,"1,494,367,671원","69,126,675,000원"
686회,2016년01월23일,7,12,15,24,25,43,13,8,"1,937,531,719원","65,274,010,000원"
687회,2016년01월30일,1,8,10,13,28,42,45,6,"2,720,029,313원","68,044,669,000원"
688회,2016년02월06일,5,15,22,23,34,35,2,9,"1,967,536,750원","73,095,612,000원"
689회,2016년02월13일,7,17,19,30,36,38,34,7,"2,321,775,911원","67,460,147,000원"
690회,2016년02월20일,24,25,33,34,38,39,43,15,"1,126,507,625원","69,142,025,000원"
691회,2016년02월27일,15,27,33,35,43,45,16,6,"2,839,296,750원","68,590,328,000원"
692회,2016년03월05일,3,11,14,15,32,36,44,7,"2,301,273,697원","66,390,499,000원"
693회,2016년03월12일,1,6,11,28,34,42,30,10,"1,642,763,813원","67,352,935,000원"
694회,2016년03월19일,7,15,20,25,33,43,12,10,"1,555,036,388원","67,533,257,000원"
695회,2016년03월26일,4,18,26,33,34,38,14,11,"1,450,214,830원","67,672,085,000원"
696회,2016년04월02일,1,7,16,18,34,38,21,10,"1,632,054,413원","67,542,971,000원"
697회,2016년04월09일,2,5,8,11,33,39,31,10,"1,531,443,038원","66,966,141,000원"
698회,2016년04월16일,3,11,13,21,33,37,18,8,"1,921,084,125원","66,283,268,000원"
699회,2016년04월23일,4,5,8,16,21,29,3,8,"1,995,411,375원","66,743,146,000원"
700회,2016년04월30일,11,23,28,29,30,44,13,8,"2,082,099,188원","66,846,276,000원"
701회,2016년05월07일,3,10,14,16,36,38,35,10,"1,583,183,175원","64,454,138,000원"
702회,2016년05월14일,3,13,16,24,26,29,9,11,"1,465,091,387원","66,219,854,000원"
703회,2016년05월21일,10,28,31,33,41,44,21,5,"3,235,784,100원","65,728,988,000원"
704회,2016년05월28일,1,4,8,23,33,42,45,4,"3,865,190,344원","65,930,117,000원"
705회,2016년06월04일,1,6,17,22,28,45,23,4,"3,987,206,532원","65,859,843,000원"
706회,2016년06월11일,3,4,6,10,28,30,37,4,"3,831,746,063원","65,723,488,000원"
707회,2016년06월18일,2,12,19,24,39,44,35,12,"1,322,167,313원","66,813,924,000원"
708회,2016년06월25일,2,10,16,19,34,45,1,4,"4,099,552,219원","66,806,307,000원"
709회,2016년07월02일,10,18,30,36,39,44,32,14,"1,165,271,625원","65,592,504,000원"
710회,2016년07월09일,3,4,9,24,25,33,10,5,"2,895,441,150원","65,083,972,000원"
711회,2016년07월16일,11,15,24,35,37,45,42,7,"2,277,413,358원","66,152,746,000원"
712회,2016년07월23일,17,20,30,31,33,45,19,4,"4,034,485,125원","66,136,318,000원"
713회,2016년07월30일,2,5,15,18,19,23,44,9,"1,714,720,917원","64,646,552,000원"
714회,2016년08월06일,1,7,22,33,37,40,20,7,"2,085,131,733원","64,099,989,000원"
715회,2016년08월13일,2,7,27,33,41,44,10,6,"2,605,510,438원","65,794,607,000원"
716회,2016년08월20일,2,6,13,16,29,30,21,12,"1,358,752,157원","67,040,169,000원"
717회,2016년08월27일,2,11,19,25,28,32,44,6,"2,702,433,688원","68,597,839,000원"
718회,2016년09월03일,4,11,20,23,32,39,40,17,"926,166,464원","69,400,763,000원"
719회,2016년09월10일,4,8,13,19,20,43,26,9,"1,879,581,334원","71,378,392,000원"
720회,2016년09월17일,1,12,29,34,36,37,41,14,"1,233,770,358원","69,939,090,000원"
721회,2016년09월24일,1,28,35,41,43,44,31,8,"2,273,767,360원","71,627,567,000원"
722회,2016년10월01일,12,14,21,30,39,43,45,4,"4,365,422,719원","69,446,489,000원"
723회,2016년10월08일,20,30,33,35,36,44,22,8,"2,114,365,360원","67,750,231,000원"
724회,2016년10월15일,2,8,33,35,37,41,14,12,"1,427,789,813원","69,987,274,000원"
725회,2016년10월22일,6,7,19,21,41,43,38,11,"1,579,217,250원","70,208,676,000원"
726회,2016년10월29일,1,11,21,23,34,44,24,14,"1,166,872,634원","68,799,295,000원"
727회,2016년11월05일,7,8,10,19,21,31,20,14,"1,115,107,742원","67,559,139,000원"
728회,2016년11월12일,3,6,10,30,34,37,36,5,"3,243,464,400원","68,306,112,000원"
729회,2016년11월19일,11,17,21,26,36,45,16,4,"4,198,250,719원","68,784,161,000원"
730회,2016년11월26일,4,10,14,15,18,22,39,8,"2,017,382,110원","66,934,105,000원"
731회,2016년12월03일,2,7,13,25,42,45,39,7,"2,340,471,054원","69,239,673,000원"
732회,2016년12월10일,2,4,5,17,27,32,43,7,"2,203,270,608원","68,645,948,000원"
733회,2016년12월17일,11,24,32,33,35,40,13,4,"4,016,725,125원","69,321,488,000원"
734회,2016년12월24일,6,16,37,38,41,45,18,9,"1,949,395,500원","71,457,582,000원"
735회,2016년12월31일,5,10,13,27,37,41,4,10,"1,847,231,588원","77,488,209,000원"
736회,2017년01월07일,2,11,17,18,21,27,6,5,"3,397,362,225원","73,510,203,000원"
737회,2017년01월14일,13,15,18,24,27,41,11,4,"4,283,061,000원","70,775,944,000원"
738회,2017년01월21일,23,27,28,38,42,43,36,11,"1,634,191,091원","71,768,122,000원"
739회,2017년01월28일,7,22,29,33,34,35,30,4,"4,744,122,282원","77,999,661,000원"
740회,2017년02월04일,4,8,9,16,17,19,31,18,"936,929,792원","75,186,520,000원"
741회,2017년02월11일,5,21,27,34,44,45,16,6,"3,043,595,938원","74,392,585,000원"
742회,2017년02월18일,8,10,13,36,37,40,6,16,"1,111,814,813원","73,857,792,000원"
743회,2017년02월25일,15,19,21,34,41,44,10,7,"2,608,641,000원","73,436,852,000원"
744회,2017년03월04일,10,15,18,21,34,41,43,15,"1,155,411,575원","73,507,293,000원"
745회,2017년03월11일,1,2,3,9,12,23,10,20,"746,822,982원","73,575,119,000원"
746회,2017년03월18일,3,12,33,36,42,45,25,9,"2,038,623,709원","74,239,579,000원"
747회,2017년03월25일,7,9,12,14,23,28,17,9,"1,903,214,584원","73,337,880,000원"
748회,2017년04월01일,3,10,13,22,31,32,29,9,"1,928,246,542원","72,750,277,000원"
749회,2017년04월08일,12,14,24,26,34,45,41,13,"1,350,104,395원","72,252,889,000원"
750회,2017년04월15일,1,2,15,19,24,36,12,7,"2,522,104,286원","72,248,100,000원"
751회,2017년04월22일,3,4,16,20,28,44,17,8,"2,097,968,110원","71,534,233,000원"
752회,2017년04월29일,4,16,20,33,40,43,7,9,"1,870,358,834원","71,600,822,000원"
753회,2017년05월06일,2,17,19,24,37,41,3,6,"2,711,105,063원","68,915,001,000원"
754회,2017년05월13일,2,8,17,24,29,31,32,5,"3,427,542,000원","70,765,850,000원"
755회,2017년05월20일,13,14,26,28,30,36,37,8,"2,214,427,266원","71,300,635,000원"
756회,2017년05월27일,10,14,16,18,27,28,4,5,"3,414,434,700원","70,992,946,000원"
757회,2017년06월03일,6,7,11,17,33,44,1,21,"739,839,858원","71,053,002,000원"
758회,2017년06월10일,5,9,12,30,39,43,24,8,"2,078,969,954원","71,764,259,000원"
759회,2017년06월17일,9,33,36,40,42,43,32,6,"3,032,670,500원","72,632,208,000원"
760회,2017년06월24일,10,22,27,31,42,43,12,8,"2,253,299,391원","72,200,797,000원"
761회,2017년07월01일,4,7,11,24,42,45,30,7,"2,392,730,518원","71,415,903,000원"
762회,2017년07월08일,1,3,12,21,26,41,16,10,"1,631,432,063원","70,558,895,000원"
763회,2017년07월15일,3,8,16,32,34,43,10,8,"2,138,130,000원","70,652,100,000원"
764회,2017년07월22일,7,22,24,31,34,36,15,7,"2,459,975,465원","70,318,932,000원"
765회,2017년07월29일,1,3,8,12,42,43,33,15,"1,109,214,250원","70,972,360,000원"
766회,2017년08월05일,9,30,34,35,39,41,21,8,"2,173,637,297원","69,500,769,000원"
767회,2017년08월12일,5,15,20,31,34,42,22,15,"1,163,768,725원","71,285,599,000원"
768회,2017년08월19일,7,27,29,30,38,44,4,13,"1,363,572,260원","72,306,975,000원"
769회,2017년08월26일,5,7,11,16,41,45,4,9,"1,930,760,042원","72,873,431,000원"
770회,2017년09월02일,1,9,12,23,39,43,34,8,"2,163,099,329원","74,166,379,000원"
771회,2017년09월09일,6,10,17,18,21,29,30,4,"4,362,644,907원","73,545,939,000원"
772회,2017년09월16일,5,6,11,14,21,41,32,10,"1,769,608,838원","74,375,369,000원"
773회,2017년09월23일,8,12,19,21,31,35,44,11,"1,609,403,080원","74,560,597,000원"
774회,2017년09월30일,12,15,18,28,34,42,9,11,"1,709,721,512원","77,347,021,000원"
775회,2017년10월07일,11,12,29,33,38,42,17,5,"3,470,437,650원","70,795,452,000원"
776회,2017년10월14일,8,9,18,21,28,40,20,7,"2,557,579,393원","74,826,082,000원"
777회,2017년10월21일,6,12,17,21,34,37,18,21,"833,468,036원","75,534,360,000원"
778회,2017년10월28일,6,21,35,36,37,41,11,3,"6,264,069,500원","75,075,606,000원"
779회,2017년11월04일,6,12,19,24,34,41,4,11,"1,527,709,296원","73,773,676,000원"
780회,2017년11월11일,15,17,19,21,27,45,16,11,"1,667,520,137원","74,232,084,000원"
781회,2017년11월18일,11,16,18,19,24,39,43,9,"1,882,891,542원","72,483,157,000원"
782회,2017년11월25일,6,18,31,34,38,45,20,9,"1,946,487,625원","72,253,973,000원"
783회,2017년12월02일,14,15,16,17,38,45,36,4,"4,603,964,625원","73,525,256,000원"
784회,2017년12월09일,3,10,23,24,31,39,22,9,"1,908,678,000원","74,311,382,000원"
785회,2017년12월16일,4,6,15,25,26,33,40,6,"2,886,622,688원","72,974,563,000원"
786회,2017년12월23일,12,15,16,20,24,30,38,4,"4,551,365,250원","75,930,156,000원"
787회,2017년12월30일,5,6,13,16,27,28,9,6,"3,092,108,313원","79,593,923,000원"
788회,2018년01월06일,2,10,11,19,35,39,29,13,"1,401,475,154원","78,121,882,000원"
789회,2018년01월13일,2,6,7,12,19,45,38,15,"1,140,976,825원","76,136,603,000원"
790회,2018년01월20일,3,8,19,27,30,41,12,16,"1,160,516,274원","78,978,881,000원"
791회,2018년01월27일,2,10,12,31,33,42,32,14,"1,253,081,893원","74,205,844,000원"
792회,2018년02월03일,2,7,19,25,29,36,16,7,"2,655,736,768원","76,339,003,000원"
793회,2018년02월10일,10,15,21,35,38,43,31,5,"3,750,146,775원","76,177,477,000원"
794회,2018년02월17일,6,7,18,19,30,38,13,7,"2,650,940,304원","79,941,579,000원"
795회,2018년02월24일,3,10,13,26,34,38,36,11,"1,714,977,000원","79,661,342,000원"
796회,2018년03월03일,1,21,26,36,40,41,5,7,"2,763,490,340원","77,685,943,000원"
797회,2018년03월10일,5,22,31,32,39,45,36,8,"2,397,028,125원","77,339,940,000원"
798회,2018년03월17일,2,10,14,22,32,36,41,7,"2,710,791,911원","77,038,759,000원"
799회,2018년03월24일,12,17,23,34,42,45,33,10,"1,826,427,225원","76,708,986,000원"
800회,2018년03월31일,1,4,10,12,28,45,26,11,"1,632,246,205원","76,994,062,000원"
801회,2018년04월07일,17,25,28,37,43,44,2,8,"2,256,786,657원","74,034,792,000원"
802회,2018년04월14일,10,11,12,18,24,42,27,16,"1,082,947,993원","75,146,781,000원"
803회,2018년04월21일,5,9,14,26,30,43,2,5,"3,663,810,225원","75,670,793,000원"
804회,2018년04월28일,1,10,13,26,32,36,9,11,"1,631,996,523원","74,557,028,000원"
805회,2018년05월05일,3,12,13,18,31,32,42,4,"4,266,061,969원","73,065,981,000원"
806회,2018년05월12일,14,20,23,31,37,38,27,7,"2,640,760,875원","74,030,583,000원"
807회,2018년05월19일,6,10,18,25,34,35,33,7,"2,437,662,322원","73,831,580,000원"
808회,2018년05월26일,15,21,31,32,41,43,24,6,"3,087,620,500원","74,911,438,000원"
809회,2018년06월02일,6,11,15,17,23,40,39,6,"2,921,372,750원","74,214,104,000원"
810회,2018년06월09일,5,10,13,21,39,43,11,8,"2,231,598,047원","74,388,355,000원"
811회,2018년06월16일,8,11,19,21,36,45,25,7,"2,524,148,197원","74,570,813,000원"
812회,2018년06월23일,1,3,12,14,16,43,10,6,"2,947,954,750원","74,147,816,000원"
813회,2018년06월30일,11,30,34,35,42,44,27,4,"4,591,763,157원","73,394,947,000원"
814회,2018년07월07일,2,21,28,38,42,45,30,6,"3,067,192,063원","74,316,543,000원"
815회,2018년07월14일,17,21,25,26,27,36,4,7,"2,579,855,358원","73,416,400,000원"
816회,2018년07월21일,12,18,19,29,31,39,7,8,"2,128,107,938원","72,397,826,000원"
817회,2018년07월28일,3,9,12,13,25,43,34,9,"1,868,477,334원","72,552,766,000원"
818회,2018년08월04일,14,15,25,28,29,30,3,13,"1,380,804,318원","71,793,353,000원"
819회,2018년08월11일,16,25,33,38,40,45,15,7,"2,594,534,840원","74,578,907,000원"
820회,2018년08월18일,10,21,22,30,35,42,6,4,"4,627,313,532원","75,744,571,000원"
821회,2018년08월25일,1,12,13,24,29,44,16,14,"1,316,155,956원","76,118,239,000원"
822회,2018년09월01일,9,18,20,24,27,36,12,3,"5,930,898,625원","75,681,739,000원"
823회,2018년09월08일,12,18,24,26,39,40,15,9,"2,009,843,917원","77,400,124,000원"
824회,2018년09월15일,7,9,24,29,34,38,26,15,"1,256,646,550원","78,257,422,000원"
825회,2018년09월22일,8,15,21,31,33,38,42,12,"1,658,710,563원","82,890,578,000원"
826회,2018년09월29일,13,16,24,25,33,36,42,9,"2,075,192,084원","78,218,740,000원"
827회,2018년10월06일,5,11,12,29,33,44,14,15,"1,206,500,375원","76,490,125,000원"
828회,2018년10월13일,4,7,13,29,31,39,18,13,"1,455,185,972원","77,552,827,000원"
829회,2018년10월20일,4,5,31,35,43,45,29,8,"2,444,650,641원","77,998,807,000원"
830회,2018년10월27일,5,6,16,18,37,38,17,9,"2,060,528,750원","77,714,000,000원"
831회,2018년11월03일,3,10,16,19,31,39,9,16,"1,110,702,258원","77,622,753,000원"
832회,2018년11월10일,13,14,19,26,40,43,30,9,"2,088,204,584원","77,411,900,000원"
833회,2018년11월17일,12,18,30,39,41,42,19,8,"2,356,317,282원","77,738,402,000원"
834회,2018년11월24일,6,8,18,35,42,43,3,11,"1,690,693,671원","75,941,791,000원"
835회,2018년12월01일,9,10,13,28,38,45,35,15,"1,233,681,125원","77,694,435,000원"
836회,2018년12월08일,1,9,11,14,26,28,19,14,"1,257,843,670원","74,536,697,000원"
837회,2018년12월15일,2,25,28,30,33,45,6,6,"3,144,449,125원","76,614,176,000원"
